i,S,A,kind,p,radius,g_star,g_pi,gap,sp_resid,ok,nongreedy_gap,nongreedy_violates
0,6,3,contamination,2.0,0.1,0.8325790267158856,0.27295482106913344,0.5596242056467522,1.85898708821285,True,0.5267968503869848,False
1,8,4,contamination,2.0,0.25,0.7647749251605236,0.24723324630137966,0.5175416788591439,1.4175020513468959,True,0.3541752463844699,False
2,10,5,lp,2.0,0.05,0.7873640279183338,0.4480003630074059,0.3393636649109279,1.6275763422867167,True,0.17293424950260938,False
3,7,6,lp,inf,0.05,0.8428519297207623,0.3294593260602615,0.5133926036605008,1.7618972602471503,True,0.48738285993517516,False
4,6,3,lp,1.0,0.08,0.6639839797509343,0.23657025486753688,0.42741372488339735,1.6813799292962013,True,0.25744927003978335,False
5,8,4,contamination,2.0,0.1,0.8124504609577211,0.49004931156918075,0.32240114938854036,1.4959578318943207,True,0.5759167959364526,False
6,10,5,contamination,2.0,0.25,0.7629759367303282,0.606252421650994,0.15672351507933413,1.3532586714075414,True,0.32490816691106406,False
7,7,6,lp,2.0,0.05,0.7867026016019911,0.48039773362909877,0.30630486797289236,1.5387877924655302,True,0.4037072416321751,False
8,6,3,lp,inf,0.05,0.6753728468922079,0.3504292693986309,0.324943577493577,1.821937241001741,True,0.5806353543969305,False
9,8,4,lp,1.0,0.08,0.8114438025344577,0.5026931618126794,0.30875064072177827,1.94547926851048,True,0.29301088295125965,False
10,10,5,contamination,2.0,0.1,0.7821109877972096,0.4866266334450586,0.295484354352151,1.5440579082702364,True,0.35730249975308065,False
11,7,6,contamination,2.0,0.25,0.8576346028277749,0.15167060503924246,0.7059639977885325,1.8378644251744154,True,0.5000418241754806,False
12,6,3,lp,2.0,0.05,0.800387186915588,0.6760192868114919,0.12436790010409604,1.47888482811462,True,0.13557880501139774,False
13,8,4,lp,inf,0.05,0.7897862214196343,0.481989183467621,0.3077970379520133,1.6390160376835152,True,0.4385354301636586,False
14,10,5,lp,1.0,0.08,0.7952800484830681,0.2737579755177084,0.5215220729653597,1.458845776095429,True,0.3792727506066428,False
15,7,6,contamination,2.0,0.1,0.8428394367668179,0.5254486970783994,0.3173907396884186,1.7090566149666904,True,0.16043626113559872,False
16,6,3,contamination,2.0,0.25,0.7123740734894441,0.4913483425603492,0.22102573092909494,1.44985958490143,True,0.34658822745874973,False
17,8,4,lp,2.0,0.05,0.7734296365241418,0.19408530576435118,0.5793443307597905,1.4129491029645402,True,0.3137012718850432,False
18,10,5,lp,inf,0.05,0.7534105859165832,0.42246398275528024,0.3309466031613029,1.8309092681716197,True,0.43285056241165876,False
19,7,6,lp,1.0,0.08,0.8332958092970808,0.3319059751859731,0.5013898341111077,1.7197245934615855,True,0.26697318991814634,False
20,6,3,contamination,2.0,0.1,0.7213341055421236,0.3574951664223409,0.3638389391197827,1.4797861796795027,True,0.36483604847411966,False
21,8,4,contamination,2.0,0.25,0.6502258421246639,0.4293173856676791,0.22090845645698487,1.300267382767801,True,0.26458065788950896,False
22,10,5,lp,2.0,0.05,0.833958378323537,0.4893962688046696,0.34456210951886745,1.6046001276832942,True,0.4850971043654316,False
23,7,6,lp,inf,0.05,0.9117500826195043,0.7746651875426558,0.1370848950768485,1.7507549356201118,True,0.419413342254104,False
24,6,3,lp,1.0,0.08,0.7563081422069919,0.332370444185676,0.4239376980213159,1.4452559272800354,True,0.3246487747464316,False
