i,S,A,kind,p,radius,g_star,g_pi,gap,sp_resid,ok,nongreedy_gap,nongreedy_violates
25,8,4,contamination,2.0,0.1,0.8048588462823785,0.44232415581914375,0.3625346904632347,1.592071032934307,True,0.4248608972380875,False
26,10,5,contamination,2.0,0.25,0.7221052882527955,0.24319610713314335,0.4789091811196522,1.9111315882450925,True,0.36524952942513533,False
27,7,6,lp,2.0,0.05,0.8849659974033853,0.5716239903431283,0.31334200706025706,1.5618580232115944,True,0.31033976629523974,False
28,6,3,lp,inf,0.05,0.6091743314634811,0.0726446420792739,0.5365296893842072,1.3249174315329026,True,0.038349910903494044,False
29,8,4,lp,1.0,0.08,0.9470176340188099,0.6875021371341892,0.2595154968846207,1.730926087787655,True,0.4989366227073475,False
30,10,5,contamination,2.0,0.1,0.8094172558013192,0.594721114681614,0.21469614111970514,1.39636235575911,True,0.45252201297976324,False
31,7,6,contamination,2.0,0.25,0.7494024800215031,0.5689884596758467,0.18041402034565646,1.592767673998431,True,0.242070060768945,False
32,6,3,lp,2.0,0.05,0.791790643421444,0.5053597392585357,0.2864309041629083,1.710168262331829,True,0.3144263962034481,False
33,8,4,lp,inf,0.05,0.7186347247377384,0.37588093150311824,0.34275379323462013,1.8423752228905208,True,0.33825287619828814,False
34,10,5,lp,1.0,0.08,0.8812462895933566,0.3945476150953585,0.4866986744979981,1.6589662988141312,True,0.30646340642960634,False
35,7,6,contamination,2.0,0.1,0.8396492166442185,0.20454074520586105,0.6351084714383575,1.6521600823682965,True,0.33480527471390076,False
36,6,3,contamination,2.0,0.25,0.7388785394074917,0.5382995906425164,0.20057894876497528,1.3898388981733398,True,0.5339478495850705,False
37,8,4,lp,2.0,0.05,0.8646572791381129,0.47084601921182634,0.3938112599262865,1.35925727044388,True,0.5197302416345961,False
38,10,5,lp,inf,0.05,0.7562845673345994,0.4046245229141926,0.35166004442040677,1.672731035482907,True,0.1011521110510587,False
39,7,6,lp,1.0,0.08,0.8766902904724392,0.4624540082106444,0.41423628226179476,1.9040338525440845,True,0.3479104858013813,False
40,6,3,contamination,2.0,0.1,0.7156304631783663,0.17798468417727853,0.5376457790010878,1.727749605259016,True,0.08919901165076283,False
41,8,4,contamination,2.0,0.25,0.7087527953076065,0.3334483040358906,0.3753044912717159,1.6605635573944697,True,0.19515533078297975,False
42,10,5,lp,2.0,0.05,0.8377615333601252,0.4209225281749956,0.41683900518512956,1.7330718574803414,True,0.39399947819746,False
43,7,6,lp,inf,0.05,0.8365376933894583,0.4327223076234644,0.40381538576599385,1.6688196370796535,True,0.3154929020884628,False
44,6,3,lp,1.0,0.08,0.7207329732101786,0.41740160198544324,0.30333137122473536,1.433858701997261,True,0.34503161694384066,False
45,8,4,contamination,2.0,0.1,0.786580270970469,0.451251319027977,0.335328951942492,1.541282257150693,True,0.371700345101626,False
46,10,5,contamination,2.0,0.25,0.7139374133997839,0.42635371637456754,0.28758369702521636,1.6766231018515698,True,0.23648478730738093,False
47,7,6,lp,2.0,0.05,0.9107937156692532,0.6314540475318086,0.2793396681374446,1.5882939890573913,True,0.3558156031830557,False
48,6,3,lp,inf,0.05,0.8264121384400583,0.35648730816501956,0.4699248302750388,1.6997833126917565,True,0.16262480436854299,False
49,8,4,lp,1.0,0.08,0.8694688955511244,0.7632471896315737,0.10622170591955071,1.345925410710186,True,0.53093776257251,False
50,10,5,contamination,2.0,0.1,0.734503399042834,0.4006512085332391,0.3338521905095949,1.674839304381102,True,0.2533892605384814,False
51,7,6,contamination,2.0,0.25,0.8384767175380107,0.4200237298448159,0.4184529876931948,1.2977490051827267,True,0.4083224295391865,False
52,6,3,lp,2.0,0.05,0.8089877772893922,0.5628157294386689,0.24617204785072333,1.148684726629222,True,0.3582096848723616,False
53,8,4,lp,inf,0.05,0.8211389437045192,0.41119040488621866,0.40994853881830057,1.5135013654043274,True,0.5471716766628605,False
54,10,5,lp,1.0,0.08,0.8488814467683649,0.5928388546112662,0.2560425921570987,1.6218815226194958,True,0.45348989684461677,False
55,7,6,contamination,2.0,0.1,0.8625465809790772,0.445034657957606,0.4175119230214712,1.4908585053673986,True,0.5754577172568289,False
56,6,3,contamination,2.0,0.25,0.7127432473809396,0.5579693837378034,0.15477386364313628,1.6854922958983827,True,0.2409438951471522,False
57,8,4,lp,2.0,0.05,0.6893921774270693,0.4838354922883043,0.20555668513876496,1.415784317024121,True,0.34914330539989097,False
58,10,5,lp,inf,0.05,0.7465525283314316,0.43532583321662216,0.31122669511480944,1.6090467731054043,True,0.2762165255676629,False
59,7,6,lp,1.0,0.08,0.8329980128437993,0.4901122255544853,0.34288578728931396,1.8222717627648737,True,0.4252645981678268,False
60,6,3,contamination,2.0,0.1,0.8439648502199912,0.7152830395586066,0.12868181066138462,1.3858535345787137,True,0.2788331895594831,False
61,8,4,contamination,2.0,0.25,0.625038484626506,0.2127300053557319,0.41230847927077413,1.5842610076203418,True,0.17588649958810854,False
62,10,5,lp,2.0,0.05,0.7421921453638445,0.16483903879739004,0.5773531065664544,1.8516066067412833,True,0.365134391065084,False
63,7,6,lp,inf,0.05,0.8257493128463212,0.11309701236617808,0.7126523004801432,1.732141959477445,True,0.5430469334029645,False
64,6,3,lp,1.0,0.08,0.7750321702129047,0.43423778321256135,0.34079438700034337,1.7048406308378548,True,0.5189184815268241,False
65,8,4,contamination,2.0,0.1,0.7641593621134699,0.3842263338429369,0.379933028270533,1.5915136883799863,True,0.36108269596883674,False
66,10,5,contamination,2.0,0.25,0.8209552329424146,0.6181919516057753,0.20276328133663923,1.7934744096446167,True,0.25508908889071613,False
67,7,6,lp,2.0,0.05,0.9033179140697966,0.3615644212466548,0.5417534928231418,1.5338526227429325,True,0.4205431276426527,False
68,6,3,lp,inf,0.05,0.7612387977663801,0.5681842999074461,0.19305449785893403,1.4591243811666272,True,0.17321036923098931,False
69,8,4,lp,1.0,0.08,0.8943926385381725,0.5085755690941149,0.3858170694440576,1.4055228297887061,True,0.49315502622583357,False
70,10,5,contamination,2.0,0.1,0.8294892260942492,0.5068858594371164,0.32260336665713285,1.6376824337150677,True,0.3356438585356133,False
71,7,6,contamination,2.0,0.25,0.8426553822224441,0.42130253582753524,0.42135284639490883,1.8104624605599895,True,0.29646543887769905,False
72,6,3,lp,2.0,0.05,0.815764089911343,0.5220660618695709,0.29369802804177203,1.6092772398943906,True,0.5787748697868272,False
73,8,4,lp,inf,0.05,0.7250801116170025,0.23794796199904034,0.48713214961796214,1.8525161295891333,True,0.19597977971623504,False
74,10,5,lp,1.0,0.08,0.829047766070591,0.5200992420830763,0.3089485239875147,1.5192967220529505,True,0.4726509200065657,False
75,7,6,contamination,2.0,0.1,0.8974187292028751,0.39682599385660133,0.5005927353462738,1.7164309511158482,True,0.3102606186198852,False
76,6,3,contamination,2.0,0.25,0.7279421586476895,0.6603634928194665,0.06757866582822303,1.4731783976198398,True,0.09918987602582519,False
77,8,4,lp,2.0,0.05,0.8083186564749651,0.6844328233480811,0.12388583312688406,1.47771838529534,True,0.16823111601906826,False
78,10,5,lp,inf,0.05,0.8653410601936565,0.6465547036048618,0.21878635658879475,1.9693154470613166,True,0.44034201298640474,False
79,7,6,lp,1.0,0.08,0.8722838551066608,0.43389262661932554,0.4383912284873353,1.7258926274963342,True,0.22014996308526713,False
80,6,3,contamination,2.0,0.1,0.6633066566109478,0.3720059868516246,0.29130066975932317,1.341520088910765,True,0.17001781009549016,False
81,8,4,contamination,2.0,0.25,0.6950200152979187,0.3534668763726927,0.341553138925226,1.5667769016532336,True,0.23275092529077013,False
82,10,5,lp,2.0,0.05,0.9051251510532332,0.39750094309891354,0.5076242079543196,1.6707097129896837,True,0.32660019767353865,False
83,7,6,lp,inf,0.05,0.8914877295290058,0.47779220218751656,0.41369552734148923,1.7694086967466145,True,0.37896425676859613,False
84,6,3,lp,1.0,0.08,0.8981680016040536,0.6531354225211221,0.24503257908293152,1.5862227757211602,True,0.31825817008913915,False
85,8,4,contamination,2.0,0.1,0.7604570129419383,0.559357715527617,0.2010992974143213,1.6250492549194866,True,0.4346693462732934,False
86,10,5,contamination,2.0,0.25,0.7055823685066963,0.4869517491346336,0.21863061937206268,1.4160738087828912,True,0.39505166582141393,False
87,7,6,lp,2.0,0.05,0.8510318818373216,0.4280452250069797,0.42298665683034187,1.550356618568372,True,0.44278795518988184,False
88,6,3,lp,inf,0.05,0.7557142295175326,0.5276735507231586,0.22804067879437406,1.6204297093322058,True,0.45983097338444767,False
89,8,4,lp,1.0,0.08,0.8671063653056365,0.4720112462522894,0.39509511905334704,1.4164118937987566,True,0.4010531652471037,False
90,10,5,contamination,2.0,0.1,0.8611357531669154,0.6326112868694765,0.22852446629743883,1.762448556410719,True,0.47143276177961857,False
91,7,6,contamination,2.0,0.25,0.8875674824968942,0.4500773044976766,0.43749017799921763,1.6619725174510611,True,0.5741826898896647,False
92,6,3,lp,2.0,0.05,0.6626557068306708,0.4302687067882807,0.23238700004239005,1.3901476117795648,True,0.402152549234986,False
93,8,4,lp,inf,0.05,0.7462769775504121,0.5786448869947072,0.16763209055570494,1.6488207720930033,True,0.19934643901246818,False
94,10,5,lp,1.0,0.08,0.7906645966254809,0.395360422937856,0.39530417368762494,1.9264443088482521,True,0.14916334031316947,False
95,7,6,contamination,2.0,0.1,0.8511925522738861,0.6300445817242757,0.22114797054961044,1.6929767740880792,True,0.1675848905941364,False
96,6,3,contamination,2.0,0.25,0.7491883338904186,0.6266710972358274,0.12251723665459124,1.4815142737210518,True,0.18393401315418045,False
97,8,4,lp,2.0,0.05,0.6987949968072216,0.40270648600835585,0.2960885107988657,1.9453507745791954,True,0.12983572402371601,False
98,10,5,lp,inf,0.05,0.8775937066522609,0.23348896636188188,0.644104740290379,1.5832729586334704,True,0.5776742282454536,False
99,7,6,lp,1.0,0.08,0.8282027009230399,0.4920675910516053,0.33613510987143463,1.888828553374038,True,0.18705809484536917,False
100,6,3,contamination,2.0,0.1,0.8422039729796327,0.19457356315540633,0.6476304098242264,1.2236988070029053,True,0.08197469081956776,False
101,8,4,contamination,2.0,0.25,0.7823379058856001,0.3506067497972205,0.43173115608837964,1.383986941215174,True,0.4156917261021564,False
102,10,5,lp,2.0,0.05,0.7931377961441748,0.44680228712127545,0.34633550902289933,1.7010523380892577,True,0.42175949908218846,False
103,7,6,lp,inf,0.05,0.8721776671096575,0.34493277049897847,0.5272448966106791,1.5713656273336114,True,0.3907216849844386,False
104,6,3,lp,1.0,0.08,0.8122741292506716,0.4916183428429163,0.32065578640775527,1.5294356069829387,True,0.37234542165328527,False
105,8,4,contamination,2.0,0.1,0.9293318608604271,0.4060477663251256,0.5232840945353014,1.6809178639733182,True,0.19536369314337554,False
106,10,5,contamination,2.0,0.25,0.660389176262035,0.36255631934048116,0.2978328569215538,1.787933465094444,True,0.23769339063749484,False
107,7,6,lp,2.0,0.05,0.9284961895076494,0.5613199606910412,0.3671762288166083,1.9658839852515868,True,0.29303040566244154,False
108,6,3,lp,inf,0.05,0.8294680789815793,0.25922700513933217,0.5702410738422471,1.913202648598637,True,0.2118698422544193,False
109,8,4,lp,1.0,0.08,0.7203574919368657,0.5638529875511596,0.15650450438570607,1.671097038513297,True,0.3045973903847436,False
110,10,5,contamination,2.0,0.1,0.801584385521857,0.5936234796515907,0.20796090587026628,1.563553345777413,True,0.42249926283520245,False
111,7,6,contamination,2.0,0.25,0.6815594337704977,0.28223466899574234,0.3993247647747553,1.6891723758527417,True,0.35560544584363335,False
112,6,3,lp,2.0,0.05,0.6834752949849058,0.2782825094772705,0.40519278550763527,1.3313910897955978,True,0.1494404967919093,False
113,8,4,lp,inf,0.05,0.8577356842346086,0.7220369333776698,0.13569875085693872,1.271899286176775,True,0.4384609497126847,False
114,10,5,lp,1.0,0.08,0.8959355849748457,0.7158291443204557,0.18010644065438997,1.3793494443508185,True,0.24158450937591858,False
115,7,6,contamination,2.0,0.1,0.7956401712618406,0.4277664843449898,0.3678736869168508,1.8468082672524502,True,0.19954267563833605,False
116,6,3,contamination,2.0,0.25,0.7281304274770363,0.15755800046105245,0.5705724270159838,1.415727619870089,True,0.42029180186028714,False
117,8,4,lp,2.0,0.05,0.8062661304787173,0.5131407009705258,0.29312542950819154,1.314524378931782,True,0.5348435799326693,False
118,10,5,lp,inf,0.05,0.8389119705223989,0.319647675995535,0.5192642945268638,1.694657480231175,True,0.3680150816100607,False
119,7,6,lp,1.0,0.08,0.9039618591258038,0.6837670332044156,0.22019482592138828,1.7337505558053004,True,0.40750478300989085,False
120,6,3,contamination,2.0,0.1,0.72009100021877,0.5927729184212204,0.12731808179754966,0.7415565452947208,True,0.3619345955639788,False
121,8,4,contamination,2.0,0.25,0.7428652934548914,0.2921348285707205,0.4507304648841709,1.4773031132284518,True,0.31614917299517187,False
122,10,5,lp,2.0,0.05,0.7384893986473033,0.3299589059685648,0.40853049267873853,1.6686199575857183,True,0.27619645977646173,False
123,7,6,lp,inf,0.05,0.8746853747493955,0.5844292051998372,0.29025616954955824,1.526033564678075,True,0.5175064415219442,False
124,6,3,lp,1.0,0.08,0.7616836080659961,0.5042964148340554,0.2573871932319407,1.5472318511939642,True,0.14537217260620328,False
125,8,4,contamination,2.0,0.1,0.7420097472499919,0.24922504076280344,0.4927847064871885,1.737702383066107,True,0.23436186724320585,False
126,10,5,contamination,2.0,0.25,0.794354002785671,0.41097725249211686,0.38337675029355417,1.6038135950025314,True,0.4411838372676684,False
127,7,6,lp,2.0,0.05,0.8275010780150024,0.3091159510672434,0.5183851269477591,1.7672229953392393,True,0.3445089073185246,False
128,6,3,lp,inf,0.05,0.8045344220690036,0.40831784749309336,0.39621657457591025,1.4577401948265978,True,0.5328234631876699,False
129,8,4,lp,1.0,0.08,0.7913394165986083,0.2119354971074795,0.5794039194911288,1.673608397969165,True,0.273615333300248,False
130,10,5,contamination,2.0,0.1,0.7037802075261511,0.42690082368744253,0.2768793838387086,1.5167065140016098,True,0.3422203981444358,False
131,7,6,contamination,2.0,0.25,0.8761819702698691,0.5108052900504716,0.3653766802193975,1.4351123600395974,True,0.39300261601149744,False
132,6,3,lp,2.0,0.05,0.7301148511177095,0.5791861197190131,0.15092873139869634,1.063742222902486,True,0.29207889231847955,False
133,8,4,lp,inf,0.05,0.6679890518216329,0.3388984158981327,0.32909063592350024,1.746454591684265,True,0.3684781890291998,False
134,10,5,lp,1.0,0.08,0.8814446235622724,0.5472912178237467,0.3341534057385257,1.5790460480309485,True,0.4656496000527458,False
135,7,6,contamination,2.0,0.1,0.8871379401188921,0.6140968191464801,0.27304112097241207,1.606423713654209,True,0.4842013842860692,False
136,6,3,contamination,2.0,0.25,0.6878830582095794,0.37270785274818896,0.31517520546139044,1.7971269364384868,True,0.1945246928578373,False
137,8,4,lp,2.0,0.05,0.8194671688201738,0.31316443904052577,0.5063027297796481,1.6446813286536903,True,0.3368598508667114,False
138,10,5,lp,inf,0.05,0.8294563591143378,0.36441193092002433,0.46504442819431346,1.7442803855834021,True,0.555259808035303,False
139,7,6,lp,1.0,0.08,0.7936688434132865,0.4686279090843388,0.32504093432894765,1.4943331772819792,True,0.5173510788698236,False
140,6,3,contamination,2.0,0.1,0.7608428478912111,0.18932014355386084,0.5715227043373503,1.4643073136584608,True,0.3822750057780222,False
141,8,4,contamination,2.0,0.25,0.7559377314661441,0.3248784427603688,0.43105928870577526,1.517935764702778,True,0.40414451372727533,False
142,10,5,lp,2.0,0.05,0.8315827246216811,0.35460296052692264,0.4769797640947585,1.6802150017886137,True,0.23872316124316262,False
143,7,6,lp,inf,0.05,0.8537790609796437,0.4126243343357331,0.44115472664391064,1.5692248413931154,True,0.30041194529576654,False
144,6,3,lp,1.0,0.08,0.6155129407659659,0.4289973817116828,0.18651555905428308,1.1665357580267046,True,0.40880704861120437,False
145,8,4,contamination,2.0,0.1,0.6776922467566392,0.49314357211070764,0.18454867464593155,1.3600286038024096,True,0.12367366360019161,False
146,10,5,contamination,2.0,0.25,0.6507342893406295,0.3166334293925157,0.3341008599481138,1.735833287775081,True,0.21089055169952164,False
147,7,6,lp,2.0,0.05,0.9341709643861673,0.43059753024836284,0.5035734341378044,1.8188835105318992,True,0.3958461773863322,False
148,6,3,lp,inf,0.05,0.9027533112282661,0.42787935333466587,0.4748739578936002,1.5689294964526566,True,0.08026081716119138,False
149,8,4,lp,1.0,0.08,0.7822470078135741,0.45622295522599615,0.326024052587578,1.4651720283064855,True,0.48760389204747084,False
150,10,5,contamination,2.0,0.1,0.7331518666184029,0.34208750394433257,0.39106436267407035,1.6504732334913517,True,0.35643734168094104,False
151,7,6,contamination,2.0,0.25,0.8872428349691667,0.5287906746355999,0.35845216033356675,1.7771150719350959,True,0.6307897240439074,False
152,6,3,lp,2.0,0.05,0.8362242388579333,0.3450755431199928,0.4911486957379405,1.5594555956995042,True,0.4124174781124145,False
153,8,4,lp,inf,0.05,0.6326488725739949,0.28816726672539367,0.34448160584860127,1.9624934455665186,True,0.1201609943456059,False
154,10,5,lp,1.0,0.08,0.9004042294801526,0.44711711133657095,0.4532871181435817,1.8920178678467785,True,0.20753400904651265,False
155,7,6,contamination,2.0,0.1,0.8871990832560869,0.4713939231938703,0.41580516006221657,2.0541459945207547,True,0.48646742136035714,False
156,6,3,contamination,2.0,0.25,0.7381865473540445,0.4248788722530697,0.31330767510097485,1.3851726007398517,True,0.361728329042203,False
157,8,4,lp,2.0,0.05,0.756354416082462,0.336999153674724,0.419355262407738,1.6232370263211506,True,0.26861449214599525,False
158,10,5,lp,inf,0.05,0.7853581035070281,0.3828614460418845,0.40249665746514357,1.5586122084015013,True,0.1850636026248883,False
159,7,6,lp,1.0,0.08,0.7757795484503427,0.5187706790846314,0.2570088693657113,1.5172889695566756,True,0.3913542684735262,False
160,6,3,contamination,2.0,0.1,0.9001368450079174,0.6369169211168617,0.26321992389105564,1.623919973620734,True,0.22438962061482537,False
161,8,4,contamination,2.0,0.25,0.8228601161607939,0.44452688418840663,0.3783332319723873,1.7862537677024601,True,0.039259292427563985,False
162,10,5,lp,2.0,0.05,0.8813655215778744,0.7923213228173485,0.08904419876052594,1.494248044217569,True,0.3120817920404435,False
163,7,6,lp,inf,0.05,0.8083696815306971,0.3825211373641181,0.425848544166579,1.527506578656031,True,0.44852910124804063,False
164,6,3,lp,1.0,0.08,0.7082042093431923,0.15953550900599434,0.548668700337198,1.4911265944752148,True,0.10138934808926203,False
165,8,4,contamination,2.0,0.1,0.6721230199649609,0.22414970873068257,0.44797331123427836,1.872211820614768,True,0.25036781196515834,False
166,10,5,contamination,2.0,0.25,0.7957632120642759,0.5340815205764018,0.2616816914878741,1.6977730396853183,True,0.4211941206398876,False
167,7,6,lp,2.0,0.05,0.8630814457491852,0.511875475770996,0.3512059699781892,1.5917111969326352,True,0.18845415394698262,False
168,6,3,lp,inf,0.05,0.7630645034763918,0.20261056791859144,0.5604539355578003,1.5571194776108757,True,0.3281171074994522,False
169,8,4,lp,1.0,0.08,0.9306390366660768,0.6094246116590849,0.32121442500699193,1.4729310073218858,True,0.5129130382160262,False
170,10,5,contamination,2.0,0.1,0.7383444091542981,0.3848057072714205,0.3535387018828776,1.690537421634982,True,0.23446703672791425,False
171,7,6,contamination,2.0,0.25,0.8284614339810958,0.42981611117334423,0.3986453228077516,1.743749200506489,True,0.23920795313774224,False
172,6,3,lp,2.0,0.05,0.7254671925962544,0.29893045828477444,0.4265367343114799,1.4095391982392727,True,0.36838865147996913,False
173,8,4,lp,inf,0.05,0.8190991384144929,0.0939293336561825,0.7251698047583104,2.1388733372023507,True,0.24154755741927192,False
174,10,5,lp,1.0,0.08,0.7099880886810688,0.48777429147949014,0.22221379720157863,1.3911716833272214,True,0.4398410700534334,False
175,7,6,contamination,2.0,0.1,0.8077259733734823,0.41908172098017005,0.38864425239331224,1.3550513023251836,True,0.3559051638671108,False
176,6,3,contamination,2.0,0.25,0.8305224159848607,0.28916141155142006,0.5413610044334406,1.669094058968715,True,0.4268833198690157,False
177,8,4,lp,2.0,0.05,0.8669791353020249,0.3887195560176181,0.47825957928440677,1.5319708129355112,True,0.21707076041542983,False
178,10,5,lp,inf,0.05,0.7540700029740502,0.24616502402608703,0.5079049789479633,1.787918670768796,True,0.39255898821204904,False
179,7,6,lp,1.0,0.08,0.8571034634366379,0.45345789204873005,0.40364557138790785,1.8167031009506176,True,0.08166202466189865,False
180,6,3,contamination,2.0,0.1,0.7585827423258696,0.4629682065722006,0.295614535753669,1.62793594421496,True,0.48760953241829763,False
181,8,4,contamination,2.0,0.25,0.7005828281021382,0.45741486354460115,0.2431679645575371,1.3271686617554166,True,0.3144772974217207,False
182,10,5,lp,2.0,0.05,0.8663725813354931,0.36667847642011775,0.49969410491537536,2.0570022551855427,True,0.3224640443124799,False
183,7,6,lp,inf,0.05,0.7704242320005541,0.3280256360541483,0.4423985959464058,1.6528792829296153,True,0.2382028881187055,False
184,6,3,lp,1.0,0.08,0.8797671397314653,0.15551877269222913,0.7242483670392361,1.8656026366761593,True,0.362290933276066,False
185,8,4,contamination,2.0,0.1,0.7839536166745926,0.33335362288185866,0.45059999379273397,1.5678508728166118,True,0.4058150172012617,False
186,10,5,contamination,2.0,0.25,0.7417135815582461,0.3726412501025905,0.36907233145565554,1.5866838139685886,True,0.33239512224613577,False
187,7,6,lp,2.0,0.05,0.8655408678406034,0.4478543438723954,0.41768652396820793,1.4356892639261418,True,0.5136614153137116,False
188,6,3,lp,inf,0.05,0.7540780353846658,0.40856366412200484,0.34551437126266094,1.5124302443149005,True,0.11462234810472338,False
189,8,4,lp,1.0,0.08,0.9036838306231424,0.5460073954818623,0.3576764351412801,1.5073680843613118,True,0.5338291219969252,False
190,10,5,contamination,2.0,0.1,0.8267710387583925,0.4872593251726088,0.33951171358578375,1.625847728476252,True,0.4046194669083726,False
191,7,6,contamination,2.0,0.25,0.8573584011440697,0.5502502480388158,0.30710815310525386,1.5677916257333497,True,0.3606876138928613,False
192,6,3,lp,2.0,0.05,0.8345998365881504,0.7023567660081358,0.1322430705800146,1.5048762273935772,True,0.11202863006890451,False
193,8,4,lp,inf,0.05,0.7783444251532847,0.5139557189553454,0.2643887061979393,1.453421450098308,True,0.4217647605024659,False
194,10,5,lp,1.0,0.08,0.8285909365076988,0.3154370523712299,0.5131538841364689,1.9407706906646407,True,0.38478842793581985,False
195,7,6,contamination,2.0,0.1,0.8814088360761884,0.6451300675839535,0.23627876849223484,1.625215019270871,True,0.35358830408982345,False
196,6,3,contamination,2.0,0.25,0.6919386667235886,0.21428007778361524,0.47765858893997337,1.6163568482351223,True,0.059559481588814855,False
197,8,4,lp,2.0,0.05,0.8163822984353801,0.7759032835374639,0.04047901489791628,1.4713336729583184,True,0.26779119716829836,False
198,10,5,lp,inf,0.05,0.7853899007611606,0.2938701715133637,0.49151972924779685,2.0233623007111308,True,0.3811591560141162,False
199,7,6,lp,1.0,0.08,0.7678686896225253,0.40713237848300776,0.36073631113951754,1.6226242677731935,True,0.2805538402775749,False
200,6,3,contamination,2.0,0.1,0.7197416812621902,0.28185967249486177,0.4378820087673284,1.934194623247403,True,0.2885034213017757,False
201,8,4,contamination,2.0,0.25,0.7356919805814389,0.5498245427366409,0.18586743784479798,1.5905615225834424,True,0.35998520421213753,False
202,10,5,lp,2.0,0.05,0.8324401827557915,0.43262318508267955,0.3998169976731119,1.583569941741902,True,0.3518493625508821,False
203,7,6,lp,inf,0.05,0.9220633933242427,0.5231861897878562,0.39887720353638645,1.6683057101015768,True,0.3486734029563968,False
204,6,3,lp,1.0,0.08,0.7545736733464263,0.4566886763976184,0.29788499694880793,1.487726376256071,True,0.29494110305157484,False
205,8,4,contamination,2.0,0.1,0.7199823712653539,0.4410446307968921,0.2789377404684618,1.593400551188385,True,0.388926436618019,False
206,10,5,contamination,2.0,0.25,0.720401951470202,0.4156418022734577,0.3047601491967443,1.401232593482399,True,0.29832444480725706,False
207,7,6,lp,2.0,0.05,0.8209524898095766,0.6256858815276147,0.19526660828196185,1.6053292754868034,True,0.4945226916383223,False
208,6,3,lp,inf,0.05,0.7891781260370385,0.3316148579316197,0.4575632681054188,1.29438180954268,True,0.312697150101941,False
209,8,4,lp,1.0,0.08,0.7356865740234321,0.5716796251640566,0.1640069488593755,1.7094769309013773,True,0.2313812421085395,False
210,10,5,contamination,2.0,0.1,0.7823496430562389,0.5044360424638373,0.27791360059240156,1.610726809065644,True,0.29732361816429487,False
