eps,seed,n,total_samples,gap,eps_optimal
0.35,0,2,1350,0.0027926300199510035,True
0.35,1,2,1300,0.0027926300199510035,True
0.35,2,2,1400,0.0027926300199510035,True
0.35,3,2,1300,0.0027926300199510035,True
0.25,0,2,2450,0.0027926300199510035,True
0.25,1,2,2500,0.0027926300199510035,True
0.25,2,2,2550,0.0027926300199510035,True
0.25,3,2,2550,0.0027926300199510035,True
0.18,0,2,5000,0.0027926300199510035,True
0.18,1,2,5150,0.0027926300199510035,True
0.18,2,2,4650,0.0027926300199510035,True
0.18,3,2,4650,0.0027926300199510035,True
0.13,0,3,12400,0.0027926300199510035,True
0.13,1,3,13000,0.0027926300199510035,True
0.13,2,3,11900,2.2214452499724757e-12,True
0.13,3,3,12350,2.2214452499724757e-12,True
0.1,0,4,24600,2.2214452499724757e-12,True
0.1,1,4,25150,2.2214452499724757e-12,True
0.1,2,4,25000,2.2214452499724757e-12,True
0.1,3,4,25400,2.2214452499724757e-12,True
