S,A,kind,p,span_k0,span_kK,reduction,log_slope,final_gain_gap,halpern_converges,vi_span_kK
6,3,contamination,2.0,1.85898708821285,0.0010084572835467043,0.0005424767551861759,-0.9961034788126378,0.0,True,1.8189894035458565e-12
6,3,lp,2.0,1.6902161908472482,0.001150129619636786,0.0006804630235261591,-0.9950988107573833,0.0,True,0.0
6,3,lp,inf,1.5759496017741799,0.0011431699422761454,0.0007253848352695939,-0.9948637835649998,2.985389713217046e-13,True,0.0
12,6,contamination,2.0,1.8578163172259787,0.0011682155212611178,0.0006288110995846205,-0.9958257676527699,-2.4278357102502923e-12,True,1.3642420526593924e-12
12,6,lp,2.0,1.8629262097011823,0.0012487662014262213,0.0006703251019408473,-0.9958758028722935,0.0,True,0.0
12,6,lp,inf,1.851360319312745,0.0013149252129998068,0.0007102481344571155,-0.9953179888993734,7.730482920464965e-13,True,1.3322676295501878e-15
20,15,contamination,2.0,1.891992422753877,0.0012515730409177195,0.000661510599020265,-0.9956147240911212,5.194733532221107e-13,True,1.8189894035458565e-12
20,15,lp,2.0,1.8265830477768759,0.0011983713640644211,0.0006560727504412965,-0.9955125069795345,9.712940582717877e-06,True,0.0
20,15,lp,inf,1.9240713954491997,0.0012405220468677536,0.0006447380537966666,-0.9958120475334151,0.00010140678530068392,True,1.1102230246251565e-15
